X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y
-0.466937969,-1.849466179,-4.249438021,-0.998785723,-0.757305931,0.829387881,1.107287083,3.146102774,-1.981812016,3.191490169,1.435218407,-1.188694213,3
-3.351797877,1.566880472,-3.386868862,1.357169481,0.034633904,0.31323239,0.097466818,-0.571613443,-0.181867065,2.350546119,-0.300911961,4.456477133,4
1.756719096,-0.833646439,4.687680132,-0.082129171,-1.197700678,-0.376825281,0.438365439,-1.004377803,-2.491337004,-2.282156068,0.168553004,-5.575975547,1
-0.120329696,-1.509824393,-0.460450819,-0.017311654,-1.809609849,0.504587218,0.022131823,-0.791507437,-2.664230084,0.24275824,1.674560365,-4.862817502,2
0.348181011,1.586444978,0.406611427,0.472626103,0.504802723,1.444737574,0.030169804,1.744727446,-2.160469966,1.531058335,2.973578014,-2.417373,2
-1.8735871,-2.480673064,-2.420816796,-1.699405209,-1.301702104,-0.807603865,0.524519001,0.449272796,-2.004124387,0.464509447,-0.133065573,-1.955009043,3
-0.121030382,-0.708586016,-2.674419752,1.280371992,-0.232634947,1.663536145,-2.761561119,0.684210437,-0.351108466,1.293628356,1.362232873,-0.70604209,1
0.598888297,-1.421558388,3.035703067,0.476127696,0.20554377,-0.205131332,-0.077120956,-0.424880809,-1.624045557,-2.535960294,-0.820089125,-3.452814134,2
1.689322164,-1.312009929,1.094827133,1.424451747,0.623363851,0.818199236,0.217721874,0.551362704,-0.771161274,0.812137193,-2.858004904,1.243776544,0
-0.80855009,0.71305771,-1.730360796,-0.479051967,0.168019349,-0.46477914,0.45749748,1.265176693,1.454810531,-0.349314458,1.87145626,0.464631108,5
-1.156851309,-0.497527791,-0.687224464,0.489217677,0.417936541,0.122713936,-0.82382793,-0.861298573,-1.21748348,-0.654370974,1.50002921,-2.727463005,0
0.801234754,2.691910195,5.764377246,-0.267626404,-0.664988761,-0.366097539,0.432142758,-0.877280564,-3.68196065,-0.130323891,1.204234837,-3.65128859,4
-0.773248406,-1.669654709,-1.593881181,-2.397560668,-1.138513247,0.953222587,0.045025383,-0.57664719,-3.26867688,0.518535571,3.976373933,-7.509895988,2
-0.416720753,-0.711308678,-2.712632154,-3.008172572,-1.268331667,0.614178197,-1.463007519,0.345802112,-0.519287865,2.612543029,0.662410615,-0.097090991,5
-0.283839943,0.655675328,-1.234991544,-0.945837482,-1.79866189,-0.14767116,-0.037371041,-1.72014018,-0.00983166,0.088483752,3.805173547,-3.711516317,3
-1.627627823,-0.070734614,-1.903567242,1.152571446,-0.774844405,0.833708416,0.580537045,-1.462813692,-1.420975298,1.680092693,-0.153690864,0.565906155,5
0.305712479,-0.841187174,4.437862863,-0.870954905,0.040749511,1.848636419,0.087367953,-0.224074041,-2.233295953,-1.948536196,-2.598922986,-1.619531686,1
0.99782676,1.502770775,0.763415586,0.956004582,-1.432978641,-1.26870629,2.456546812,-3.541454624,-0.499939595,1.738014947,0.800715214,-0.689398568,4
-0.037187667,-1.202538943,-1.990258419,-0.334948855,-0.729570792,1.135458712,-0.094547925,0.700935785,-1.712769767,0.900503967,2.710450185,-4.063281169,3
-0.583925248,-0.684059008,-0.50813708,-0.022121502,1.162195641,0.973718244,-0.8094882,0.792210089,3.376396832,-4.680559911,1.852726526,-1.522742112,3
-3.532928829,-0.208921664,-3.162010548,4.357728372,0.910265689,-0.337689881,-0.233866683,-3.096056301,-1.931215693,0.727754629,0.323386254,0.14171207,0
-1.50604769,2.047458142,3.894854627,-2.055617019,0.223198239,0.610908302,0.336549516,1.478969427,-2.043644643,-0.886533616,-0.967333099,0.680136276,5
0.732205495,3.328543242,2.412416487,2.44038398,0.810915328,-0.147628243,0.059348852,-0.567444,-0.229681877,0.949691103,0.489038633,1.758415811,0
0.418432491,-0.849872974,-5.843561846,1.838606527,0.435306858,0.379790541,0.248046825,0.663988309,3.563005932,2.502260408,-0.195798794,4.697615249,1
-0.179871079,-6.948898483,-3.087751583,-1.663523919,0.750143077,-0.202868076,-0.084693315,0.379993501,-0.545530005,-2.17488904,-2.04838956,-4.09065755,2
1.155354066,0.082319857,-2.266055424,0.005537181,0.774142544,-0.368275586,0.227359281,2.15008913,1.494680574,3.2537257,-1.938043968,5.242631409,5
-0.53849084,0.674837856,0.090594714,-3.876460781,0.338456591,-0.785397585,-0.614110495,1.235057634,3.307910828,-0.99809916,-1.702139497,4.283051816,1
-1.081119742,1.052381329,-2.541016618,-2.78389763,0.383422996,0.644993167,1.749079871,-2.249319611,3.324309363,-0.096679879,1.820562292,1.185605535,1
2.73085338,0.176868414,2.880434103,0.702479093,0.582167889,0.644674734,0.037721733,1.330238636,-2.142864075,-0.439937405,2.821537107,-5.729093693,2
-0.423503547,-1.525924922,1.347184916,-2.112056742,-1.039463527,-1.10424755,0.659671527,-0.335369083,-3.197000433,-2.608594296,4.353893345,-9.733809748,2
-0.556905236,-3.816353431,-1.949214119,-0.738835803,-1.051253159,1.151222544,0.241584142,2.560978659,-0.402478023,-1.001649731,-2.01321788,-0.373164439,3
-0.861796566,-0.263160473,-1.076933803,-0.377582708,-1.397704366,0.801130938,-0.722760696,-0.41019167,2.193617375,-1.39507395,-0.468435514,1.648023242,4
1.187806646,-1.339093597,0.15816715,-0.06308152,1.529202335,0.169909731,1.66408381,0.212805388,-2.762764103,1.871239691,0.013126174,-2.69346636,2
0.304548526,-3.763582311,-3.819352379,0.047833596,2.014949025,0.941101534,-0.307219053,3.54293372,-0.181722272,0.520447635,-0.288731224,-0.872282623,2
1.88347142,-0.521617561,-1.248050472,1.251884659,2.601164111,0.978276124,-1.168082285,1.64033423,1.995074254,0.362783624,0.116556436,1.250002983,1
0.995947463,0.981759184,1.340238307,2.839200075,-0.760601102,-1.703101624,0.592508884,1.509827204,-1.593573184,0.355091511,1.299666354,-1.416380555,0
0.476474669,0.525883381,-2.437266587,-0.839910113,0.357457128,0.42137825,-1.656932329,0.116561665,-0.051358773,3.182861539,1.34979488,0.581339508,3
1.316610334,-2.154693993,-1.075762905,-3.255977585,0.143103894,0.099625332,0.959008042,-0.106554102,1.52798969,-0.265089946,-0.288479273,-1.176825182,2
0.486930234,3.136501508,-0.992190934,3.329534611,-0.602784178,-0.845268233,-1.58296684,-1.682510403,2.967078379,2.511829151,-1.513212742,7.303824403,5
-1.509887685,0.782931231,4.395220061,-2.035981119,0.364706975,0.178680206,-0.160134757,-0.374781396,-3.403956466,-2.428602138,0.79910583,-4.462407726,4
0.78639344,-0.565182536,0.319294988,-1.495493312,-0.278219825,1.576545358,-0.232308483,-5.189542928,-2.269780606,1.849265415,1.206765865,-4.626069169,2
