X0,X1,X2,X3,X4,X5,X6,X7,Y
-0.215160525,2.482056815,0.257079193,-0.828768248,-2.456549188,-1.284190564,-0.040499088,1.433071091,1
0.340507964,-0.310551472,-3.210185562,1.966100915,1.158345951,-2.24465013,-0.209316913,1.637885422,1
0.563490007,-2.305345362,-0.117459625,0.530060777,2.094595409,2.211830366,-0.549510684,-0.284818649,1
2.330133005,-0.534083427,-0.710250052,2.834812465,-0.48001405,0.1563421,2.505302731,-0.650206759,0
0.525033732,1.623350873,0.247202543,-2.396187792,-1.831525548,-1.824531462,0.397951259,0.474638281,0
-2.44880801,1.686605186,0.770417246,0.882254316,-0.891466893,0.630305839,-1.585093047,-0.115949293,0
-0.565356358,-0.230573236,-0.877466697,1.355310099,0.724347352,0.195430666,-0.746474872,0.26847697,1
-0.972805706,-1.412893101,0.668136271,0.643011254,1.628963705,3.184803548,-1.883014514,-0.86453455,1
-2.221026015,4.464064617,-1.065533988,-1.201018455,-3.018344137,-1.094250933,-3.977424788,0.618565963,0
-0.307146612,-0.131944523,1.85944089,0.623594798,-0.420935456,1.490282563,0.91990292,0.797890686,0
-0.176990003,0.231611572,1.9241225,0.01559298,-0.84375103,0.272423659,1.674826435,-0.444687074,0
1.22497206,-1.774013763,-0.65087061,-0.193633936,1.452616302,-1.507546672,1.945066806,0.658357503,1
-0.563739209,-0.763423542,0.782425593,1.269011707,0.670802529,0.40133544,1.022178923,-0.306935852,1
0.477792486,-1.313694435,0.315188795,0.660455576,0.945246447,-0.060321683,1.528826037,1.922131468,1
3.588617364,1.530090256,-4.239727241,-2.479347981,-1.557203007,-3.273070034,-1.022978904,1.130579833,0
-3.244177647,0.769099427,1.675330133,0.686586733,0.071413768,-1.496360506,0.805964043,1.274730764,1
1.592975448,-0.664445602,-0.158389824,0.818427885,-0.054264277,1.547272671,0.352559818,0.514301171,0
0.606561778,-0.787193976,-1.408488496,1.919254066,0.914684816,2.291277989,-1.748303908,-0.312595772,1
0.431753347,-0.473262667,0.4947423,-2.560542592,0.253692911,-1.576424596,0.982688722,1.139698514,0
2.193512009,1.159186405,-2.649866528,-1.78631679,-1.138156616,-1.939317091,-0.958073475,1.279131656,0
-0.950404787,0.018326098,-0.010012339,1.819513116,0.326761619,1.990911302,-1.43554186,0.105518643,1
0.443729936,3.731778976,-4.699401528,2.232304787,-2.471518571,-4.077960748,-1.381027468,0.536781601,1
0.162742124,-1.283930742,0.437410112,0.456327205,1.032091608,-0.029166058,1.283811445,1.003262268,1
-1.879006441,1.989845176,-1.663579385,-0.35901917,-0.520310161,-1.146147846,-3.081168675,-0.479845516,0
0.47757211,0.574265446,-0.50603425,0.435848404,-0.656130107,-0.658132802,0.403649168,0.501926217,1
0.533387348,0.260950179,1.539519551,-1.006597068,-0.985581089,1.457867651,0.224468468,-0.920675524,1
0.392647431,0.873371245,-0.890468225,1.11178427,-0.821395897,-0.282026186,-0.134387038,0.428916144,1
-1.569968282,-1.737327102,2.773263783,2.015309028,1.380051427,2.809298929,1.129780139,0.42666233,0
-0.330350968,-2.147995689,1.979900425,0.094442845,1.617402205,1.430772113,1.457179904,-0.745296893,0
1.066421856,-0.561206023,-2.026534677,1.019020537,0.722609343,-0.925965193,0.084535492,0.612183774,1
1.787766444,2.056185834,-0.721999768,-2.029656288,-2.540937149,-2.631205922,1.012449923,-0.076751595,0
0.146543211,-0.854182748,2.216155266,-0.815763301,0.064579927,1.490030249,1.113762121,-0.001030138,1
0.378656011,-1.296789276,2.344737978,-1.350228738,0.404334702,2.637166265,0.315228409,-0.557764255,1
1.077511192,-1.238908663,-1.20562353,1.652341282,1.06724052,-0.535427418,1.2176611,0.062023402,1
-1.279613869,0.777701067,3.408465652,-2.718847821,-1.23040912,0.529136542,0.626902454,0.428010016,1
0.529358888,-3.427405375,2.033133825,-0.831639754,2.545225839,0.833888444,2.579688454,-0.082411501,0
0.107587053,0.302645089,-2.881073094,1.719227414,0.558690145,-0.946392492,-1.450975936,1.464940801,1
1.342158169,-0.430077361,-0.20054728,1.326540514,-0.192729446,1.552359043,0.310888511,0.299329415,0
4.306822713,-1.381939103,-3.546551428,-0.736221715,0.700501547,-1.424732418,0.579678639,-0.570659208,0
