,Value
0,0.6604315487681394
1,0.16920702452552489
2,-0.1587651334997121
3,0.032501509924711014
4,0.09128379598406117
5,0.8689261397690216
6,0.9450074397171018
7,1.0719665455240566
8,0.7075686714243163
9,0.05667696893222507
10,0.4740841781057991
11,0.8220598414923312
12,1.031639510394861
13,1.0543320002965637
14,0.8626438593076284
15,0.4052211007717538
16,0.7990502683410892
17,0.5171144667097387
18,-0.4546758132180265
19,-0.39254345215624176
20,0.5120083953671118
21,1.3686372426702826
22,1.3761868356815037
23,-0.25260225321811913
24,-0.3317446993497483
25,0.6069871488554421
26,0.8209347599119421
27,-0.37054654923310926
28,-0.130575213983151
29,0.18661367825172906
30,0.49688104578954084
31,0.849980561198083
32,1.2719086973345326
33,0.9150940619682828
34,0.46345305218555966
35,-0.05800220035389958
36,-0.2438287411306156
37,-0.1340030048498827
38,0.36775752570254283
39,0.2997486338357097
40,0.880987080788051
41,0.15427148094639798
42,-0.07435288538829621
43,0.46048535237707877
44,0.4747765456080095
45,0.5780672899302712
46,-0.01678432185170753
47,-0.5581994266983611
48,-0.9338247463584334
49,0.9315568123245884
50,2.090738124001336
51,1.494888544597834
52,0.25991651122818205
53,-0.5982547550235924
54,-0.22960845261085933
55,1.5703942763492833
56,1.55429081751064
57,0.24752742454527255
58,-0.24679740196616984
59,-0.2651892972396027
60,0.5144600952806716
61,0.9601916485491607
62,0.6908763169858612
63,0.2064766261391492
64,0.13027949749084106
65,0.33761169731188817
66,0.9077491601270888
67,0.6000991546725818
68,0.3323692843725628
69,-0.23062219210338658
70,-0.42480201278928703
71,0.23459197937629767
72,0.9721022217804298
73,1.2343409873051783
74,0.4916960754748576
75,0.1200248734408691
76,0.40715893132049963
77,0.5581437322586105
78,0.8908099676071931
79,0.3228077227937338
80,0.4632566209811644
81,-0.1047622225624748
82,0.005071796329761624
83,0.18881998430154334
84,1.1257805790693534
85,0.8887827251232636
86,0.09524634883826355
87,0.5625157406676737
88,0.7732057498981837
89,0.6063857436767766
90,1.1170159734462919
91,0.573155594557121
92,-0.15953474209252239
93,0.5054506314600967
94,0.5616869426820029
95,1.2209805606614066
96,0.8512910476601918
97,1.1787587924853995
98,0.06652825435044862
99,-0.2457894033133068
100,0.2372105352659593
101,1.0633899033687533
102,0.3007022507577698
103,-0.7880499447365011
104,0.8130437334833401
105,0.5486040971644295
106,-0.32337925922681454
107,-0.11757958998440612
108,1.1021478154782895
109,0.6680225168504023
110,0.4826652498785401
111,0.6770514132075165
112,1.1765690823890727
113,0.4761268025427148
114,-0.20701674974776219
115,0.3973996383659657
116,0.4483755932543185
117,1.1287201376428744
118,0.4398803578537921
119,0.18978734868020486
120,0.40018129397426216
121,0.6067779035446447
122,0.16936493276719755
123,-0.08382199003827545
124,0.0562793554286804
125,0.45473118428471765
126,0.6543604213572736
127,0.31860739762866674
128,0.23076442730083918
129,0.07353386581081103
130,0.5487337328915524
131,1.9230825978493704
132,0.6982235877372878
133,-1.0730634377808457
134,-0.7129117443731756
135,0.5210362718567334
136,1.168716824134893
137,0.9927949734927854
138,0.4793166594789453
139,0.791203193121239
140,0.8498579745597451
141,1.0354316666932362
142,0.4650996289754067
143,0.37038311228930054
144,0.13877729991766607
145,0.43815397909568804
146,0.11600993855220304
147,0.24332524858202698
148,-0.5723450565910797
149,1.034274983466676
150,1.5333159815894835
151,0.4300772937583799
152,-1.2502893363732779
153,-0.3237625097731889
154,0.7411416500135919
155,1.1875331434996759
156,0.16167110792674633
157,0.1855315598245787
158,0.06959954465610335
159,0.5731903978130546
160,1.360061436903142
161,0.7707467841982822
162,0.028583108844832283
